County,Net taxable a/  assessed value,"Property tax allocations and levies b,e/ (city)","Property tax allocations and levies b,e/ (County)","Property tax allocations and levies b,e/ (School)","Property tax allocations and levies b,e/ (Other Districts)","Property tax allocations and levies b,e/ (Total)",Average tax rate (%) 2010-11,Rank,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,English-Language Arts (Grades 2-11) - Number of scores,English-Language Arts (Grades 2-11) - % Proficient or Advanced,"History (Grades 8 and 11, and end-of-course) - Number of scores","History (Grades 8 and 11, and end-of-course) - % Proficient or Advanced","Mathematics (Grades 2-7, and end-of-course) - Number of scores","Mathematics (Grades 2-7, and end-of-course) - % Proficient or Advanced","Science CST (Grades 5, 8, and 10) - Number of scores","Science CST (Grades 5, 8, and 10) - % Proficient or Advanced",Number of Students Included in API,2011 Base API,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage,Enrollment,Suspensions,Suspension Rate,Expulsions,Expulsion Rate,Truants,Truancy Rate,Bachelors or less,Masters or more,Associates,Bachelors,Masters,Juris Doctor,PhD
Shasta County,15056697000,9969000,20526000,107500000,26519000,164513000,1.09%,35,23772,43944,55456,177223,70346,"19,251",60.1,"6,354",48.1,"18,964",51.1,"5,929",62.9,17957,805,"2,310","1,990",248,86.2,"28,922","2,307",8.0,53,0.2,"7,784",26.9,1047,294,1,1044,291,0,3
Sierra County,561985000,41000,3018000,1933000,830000,5821000,1.04%,23,27389,52950,67933,3240,1482,290,59.3,112,43.8,284,45.8,84,66.7,314,803,33,32,*,97,451,5,1.1,0,0.0,127,28.2,24,8,0,23,7,0,1
Siskiyou County,4378185000,2640000,9448000,31942000,1922000,45953000,1.05%,40,22179,36981,47037,44900,19505,"4,199",55.1,"1,375",45.7,"4,072",50.1,"1,320",59.7,3923,792,404,358,34,88.6,"6,403",342,5.3,14,0.2,547,8.5,300,78,3,295,76,0,2
Solano County,39278094000,55081000,70510000,207944000,119449000,452984000,1.15%,20,28649,68409,77321,413344,141758,"46,227",55.8,"14,195",46.9,"45,479",48.5,"13,777",55.1,45655,770,"5,226","4,073",859,77.9,"68,130","7,172",10.5,124,0.2,"17,194",25.2,2032,889,3,2017,866,0,23
Sonoma County,66623347000,39352000,149940000,446002000,102028000,737323000,1.11%,12,32597,63274,76715,483878,185825,"49,451",60.8,"14,866",47.9,"48,742",52,"14,629",61.1,47316,793,"5,611","4,444",694,79.2,"74,111","4,348",5.9,214,0.3,"12,417",16.8,2857,929,0,2853,901,2,26
Stanislaus County,34977884000,22318000,39818000,286924000,38479000,387538000,1.11%,42,22064,51094,57433,514453,165180,"74,534",52.4,"23,091",47.2,"73,872",45.1,"22,237",54.2,72225,769,"8,164","6,397","1,193",78.4,"110,949","10,805",9.7,426,0.4,"25,794",23.2,3952,854,2,3939,842,0,12
Sutter County,8081727000,7101000,15409000,54916000,9502000,86928000,1.08%,39,22344,50944,57581,94737,31437,"4,417,527",57.2,"1,372,141",48.8,"4,364,558",51.5,"1,316,296",59.5,,,"1,575","1,238",184,78.6,"23,362","1,603",6.9,96,0.4,"3,346",14.3,900,352,0,896,347,0,5
Tehama County,4587862000,1923000,11543000,31715000,1603000,46783000,1.02%,48,20198,38137,45451,63463,23767,"15,309",56.1,"4,542",41.5,"14,715",47.4,"4,576",55.3,12513,788,840,706,100,84.1,"11,645",633,5.4,10,0.1,"2,333",20.0,467,80,2,463,78,1,1
Trinity County,1222302000,-,3565000,8246000,582000,12393000,1.01%,41,22073,38725,46686,13786,6083,"1,081",55.8,386,51.3,"1,072",47.1,347,62.2,1148,779,137,126,*,92,"1,818",165,9.1,0,0.0,617,33.9,86,30,0,86,30,0,0
Tulare County,27695348000,15508000,58006000,182737000,46752000,303004000,1.09%,56,17966,43851,47126,442179,130352,"71,080",47.3,"20,274",42.8,"70,305",45.6,"21,002",51.4,69534,748,"6,908","5,520","1,030",79.9,"103,384","5,983",5.8,103,0.1,"30,317",29.3,2996,1301,0,2988,1292,3,6
Tuolumne County,6331925000,519000,18548000,42747000,4683000,66497000,1.05%,32,25483,47462,62440,55365,22156,"4,594",60.7,"1,571",48.1,"4,348",48.3,"1,402",62.1,4247,796,598,504,64,84.3,"7,170",640,8.9,46,0.6,"1,439",20.1,369,176,2,361,171,2,3
Ventura County,"104,382,635,000",91285000,178919000,598943000,270146000,1139293000,1.09%,13,32348,75348,84364,823318,266920,"101,449",60,"31,571",54.8,"100,919",52.1,"30,268",64,100225,796,"11,172","9,241","1,204",82.7,"147,807","7,756",5.2,215,0.1,"39,471",26.7,3363,2922,7,3339,2881,6,35
Yolo County,20320856000,34690000,19705000,133180000,41430000,229006000,1.13%,22,27420,57077,73259,200849,70872,"21,022",58.1,"6,434",52.6,"20,725",49.9,"6,236",62.4,21091,788,"2,300","1,970",238,85.7,"31,088","2,231",7.2,44,0.1,"7,318",23.5,1073,416,0,1072,399,0,17
Yuba County,4819565000,1272000,10317000,32605000,4396000,48590000,1.01%,51,19937,46807,53289,72155,24307,"9,798",50.8,"2,761",40.9,"9,388",49.3,"2,868",53.3,9081,758,"1,075",777,188,72.3,"15,306","1,553",10.1,106,0.7,947,6.2,569,133,0,549,128,0,5
